Common name,Scientific name,Set,Color,Power text,Flavor text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg limit,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,Beak Direction,Fan Art Beak Direction,Swift Start,Automata Ban,North America,Central America,South America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Endangered Species Protector,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Small Clutch Specialist,Viticulturalist,Wetland Scientist,Wildlife Gardener,,acceptedName,family,order,colId,wingsplainTierIndex,wingsplainTier,wingsearchLink,inFanArtPack?
Hermit Thrush,Catharus guttatus,core,brown,Player(s) with the fewest birds in their [forest] gain 1 [die] from birdfeeder.,Hermit thrushes tend to nest on the ground in the western US and in trees in the East.,,,,7,wild,2,30,X,,,1,,,2,,,,,,3,R,R,,,X,X,,,,,,,,,,,,,,X,X,,,,,X,,X,,X,X,,,X,X,,X,,Catharus guttatus,Turdidae,Passeriformes,69FQZ,3,tier 2,https://navarog.github.io/wingsearch/card/146,TRUE
Himalayan Monal,Lophophorus impejanus,asia,brown,All players gain 1 [seed] from the supply. You also lay 1 [egg].,"This is the national bird of Nepal and the state bird of Uttarakhand, India.",,,,5,ground,2,33,X,X,,1,1,,1,,,,,,3,R,L,,,,,,,X,,,,X,,,,X,,X,X,X,,,,,,,,,,,,,X,X,,,,Lophophorus impejanus,Phasianidae,Galliformes,3W3VY,2,tier 1,https://navarog.github.io/wingsearch/card/400,TRUE
Hooded Crow,Corvus cornix,european,teal,"Choose 1 other player. For each action cube on their [grassland], tuck 1 [card] from your hand behind this bird, then draw an equal number of [card].",The hooded crow is associated with fairies in Celtic folklore.,,X,,3,platform,2,99,,X,X,1,,,,,,2,,,3,L,L,,,,,,X,X,,,,,,,X,X,X,,X,,,,,,,X,,X,,X,,,X,,,,,Corvus cornix,Corvidae,Passeriformes,YNHH,3,tier 2,https://navarog.github.io/wingsearch/card/147,TRUE
Hooded Merganser,Lophodytes cucullatus,core,brown,Repeat 1 [predator] power in this habitat.,Merganser chicks jump from their cavity nest to the ground when they're just 1 day old.,,,,5,cavity,4,61,,,X,1,,1,,,,,,,2,L,,,,X,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,X,,,Lophodytes cucullatus,Anatidae,Anseriformes,3W3GS,3,tier 2,https://navarog.github.io/wingsearch/card/148,FALSE
Hooded Warbler,Setophaga citrina,core,,,This bird spends its time in the understory and nests within a meter of the ground.,,,,7,bowl,3,18,X,,,2,,,,,,,,,2,R,,,,X,X,,,,,,,,,,,,,,,,,,,X,X,,,,X,,,,,,,X,,Setophaga citrina,Parulidae,Passeriformes,4X3BL,2,tier 1,https://navarog.github.io/wingsearch/card/149,FALSE
Horned Lark,Eremophila alpestris,core,pink,"When another player plays a bird in their [grassland], tuck 1 [card] from your hand behind this bird.","Horned larks form large nomadic flocks, mixing with birds of other species.",,X,,5,ground,4,30,,X,,1,1,,,,,,,,2,N,,,,X,X,,X,X,,,,,,,,,X,X,,X,,,,,,,,,X,,X,,,,,,,Eremophila alpestris,Alaudidae,Passeriformes,6GFXQ,4,underused tier,https://navarog.github.io/wingsearch/card/150,FALSE
Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,oceania,pink,"When another player takes the ""lay eggs"" action, lay 1 [egg] on a bird with a wingspan less than 30cm.","This cuckoo mainly lays eggs in fairywren nests, but it will also parasitize other small birds.",,,,2,,0,29,X,X,X,1,,,,,,,,,1,L,,,,,,,,X,,X,,,X,X,X,X,,,,,,,,X,,,,,X,,,,X,,,,,Chrysococcyx basalis,Cuculidae,Cuculiformes,CNJTR,4,underused tier,https://navarog.github.io/wingsearch/card/296,FALSE
Horsfield's Bushlark,Mirafra javanica,oceania,brown,"Discard 1 [seed]. If you do, lay up to 2 [egg] on this bird.","There are 90 species of larks in the world, but this is the only one native to Australia.",,,,2,ground,2,22,,X,,1,1,,,,,,,,2,L,,,,,,,,,,X,,,X,,X,,,X,,X,,,,,,,,,X,,X,,X,,,,,Mirafra javanica,Alaudidae,Passeriformes,43LMJ,4,underused tier,https://navarog.github.io/wingsearch/card/297,FALSE
House Crow,Corvus splendens,asia,teal,You may cache 1 [wild] from your supply on each bird in this row.,These food-caching birds can pass a test indicating they recognize themselves in a mirror.,,,,3,platform,3,81,X,X,X,,,,,,,1,,,1,L,,,,,,,,X,X,,,,,,X,X,,,,,,,,,,X,,X,,X,,,,,,,,Corvus splendens,Corvidae,Passeriformes,YNJJ,2,tier 1,https://navarog.github.io/wingsearch/card/401,FALSE
House Finch,Haemorhous mexicanus,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].",These finches are rarely alone and can flock in the hundreds.,,X,,3,bowl,6,25,X,X,X,,1,,1,,,,,,2,L,L,,,X,X,,,,,,,,,,X,X,X,X,,,,,,,,,,,X,,,,,X,,X,,Haemorhous mexicanus,Fringillidae,Passeriformes,6L8DR,2,tier 1,https://navarog.github.io/wingsearch/card/151,TRUE
House Sparrow,Passer domesticus,european,teal,"Discard up to 5 [seed] from your supply. For each, tuck 1 [card] from the deck behind this bird.",This bird diverged genetically around the time agriculture developed.,,X,,6,cavity,5,22,,X,,,1,,1,,,,,,2,R,,,,,,,X,X,,,,,,,,,X,X,,,,,,,,,X,,X,,X,,,X,,,,Passer domesticus,Passeridae,Passeriformes,4DXXM,2,tier 1,https://navarog.github.io/wingsearch/card/152,FALSE
House Wren,Troglodytes aedon,core,white,Play an additional bird in this bird's habitat. Pay its normal cost.,House wrens will remove the eggs of other birds and take over their nests.,,,,1,cavity,5,15,X,X,,1,,,,,,,,,1,R,R,,,X,X,X,,,,,,,,,X,X,,,,,,,,X,,,X,,X,,,,,,,,,Troglodytes aedon,Troglodytidae,Passeriformes,598SY,3,tier 2,https://navarog.github.io/wingsearch/card/153,TRUE
Iberian Magpie,Cyanopica cooki,promoEurope,yellow,Lay 2 [egg] on each adjacent bird with a [platform] nest.,"Although Iberian magpies nest in colonies, they always nest in separate trees.",,,,6,platform,4,39,X,X,,1,1,,,,,1,,,3,R,,,,,,,X,,,,,X,,,,X,,X,X,,,,,,,,,X,,X,,,,,,,,Cyanopica cooki,Corvidae,Passeriformes,32NR9,,,https://navarog.github.io/wingsearch/card/514,FALSE
Ibisbill,Ibidorhyncha struthersii,asia,white,All players draw 1 [card] from the deck and gain 1 [invertebrate] from the supply. You draw 1 additional [card] from the deck.,"The ibisbill is most closely related to the oystercatchers, avocets, and stilts -- not ibises.",,,,8,ground,2,74,,,X,2,,1,,,,,,,3,L,,,,,,,,X,,,X,,,,,,,,X,X,,,X,,,X,,,,,,,X,,X,,,Ibidorhyncha struthersii,Ibidorhynchidae,Charadriiformes,3P8BX,2,tier 1,https://navarog.github.io/wingsearch/card/402,FALSE
Inca Dove,Columbina inca,core,white,Lay 1 [egg] on each of your birds with a [platform] nest.,This bird likes human settlements and is expanding its range north.,,,,2,platform,4,28,,X,,,2,,,,,,,,2,L,,,,X,X,,,,,,,X,,,X,,,X,,,,,,,,,,,X,X,X,,,,,,,Columbina inca,Columbidae,Columbiformes,5ZPZW,3,tier 2,https://navarog.github.io/wingsearch/card/154,FALSE
Indian Courser,Cursorius coromandelicus,promoAsia,pink,"When another player takes the “draw cards” action, draw 1 [card] from the tray at the end of their turn. If there are no cards in the tray then, refill the tray first.","Coursers are ground birds that assemble into small groups in dry, open terrain.",,,,3,ground,2,54,,X,,2,,,,,,,,,2,R,,,,,,,,X,,,,X,,,X,,,,,X,,,,X,,,,,,,X,,X,,,,,Cursorius coromandelicus,Glareolidae,Charadriiformes,32KMS,,,https://navarog.github.io/wingsearch/card/462,FALSE
Indian Paradise Flycatcher,Terpsiphone paradisi,promoAsia,white,"All players gain 1 [wild] from the supply, lay 1 [egg] on any bird, and draw 1 [card] from the deck. You may do all 3 a second time.","Males of this strikingly plumaged monarch are white or bright rufous, depending on location.",,,,5,bowl,2,27,X,,,2,,,,,,,,,2,L,,,,,,,,X,,,,X,,,,,,,,,,,,X,X,,,,X,,,,X,,,X,,Terpsiphone paradisi,Monarchidae,Passeriformes,7C3M8,,,https://navarog.github.io/wingsearch/card/463,FALSE
Indian Peafowl,Pavo cristatus,asia,white,All players draw 2 [card] from the deck. You draw 1 additional [card].,This bird was designated the national bird of India in 1963.,,,,7,ground,3,145,X,X,X,1,1,,,,,1,,,3,L,L,,,,,,,X,,X,,X,,,,X,,X,X,X,,,,,,X,,X,,,,,,,,,,Pavo cristatus,Phasianidae,Galliformes,6TWGZ,2,tier 1,https://navarog.github.io/wingsearch/card/403,TRUE
Indian Vulture,Gyps indicus,asia,yellow,"Copy one bonus card of the player on your right, as if it were your own (score it based on your own birds).",India banned use of diclofenac in cattle in 2008 after it caused the death of millions of vultures.,,,X,0,platform,1,227,,X,,,,,,,,,,,0,L,,,,,,,,X,,,,X,,,X,,,,,,X,,,,,X,,,,X,X,,X,,,,,Gyps indicus,Accipitridae,Accipitriformes,6L7CJ,4,underused tier,https://navarog.github.io/wingsearch/card/404,FALSE
Indigo Bunting,Passerina cyanea,core,brown,"Gain 1 [invertebrate] or [fruit] from the birdfeeder, if available.",Indigo buntings are almost always found on forest edges.,,,,5,bowl,3,20,X,X,,1,1,,1,,,,,,3,L,L,,,X,X,,,,,,,,,X,,X,,X,X,,,,,,,,,,X,,,,,X,,X,,Passerina cyanea,Cardinalidae,Passeriformes,4DXZR,2,tier 1,https://navarog.github.io/wingsearch/card/155,TRUE
Italian Sparrow,Passer italiae,promoEurope,brown,"If this bird has 2–3 [egg] on it, lay 1 [egg] on this bird.",Depictions of this bird or a close relative have been discovered at Pompeii.,,,,4,cavity,4,23,,X,,1,1,,,,,,,,2,R,,,,,,,X,,,,,X,,,,,,X,,,,,,,,,X,,X,,X,,,,,,,Passer italiae,Passeridae,Passeriformes,4DXXX,,,https://navarog.github.io/wingsearch/card/515,FALSE
Ivory Gull,Pagophila eburnea,promoCA,brown,Choose a food in the cost of the [card] on top of the discard pile. Cache 1 of that food from the supply on this bird. You may spend food on this bird when activating a bird power.,"The varied diet of this consummate scavenger includes carrion, feces, and seal placentae.",,,,3,ground,2,114,,,X,,,,,,,2,,,2,R,,,,X,,,X,X,,,,,,X,X,,,,,X,,,,,,X,,X,,,,,X,,X,,,Pagophila eburnea,Laridae,Charadriiformes,4BZM9,,,https://navarog.github.io/wingsearch/card/484,FALSE
Juniper Titmouse,Baeolophus ridgwayi,core,brown,Cache 1 [seed] from the supply on this bird.,These little birds make it through winter by storing seeds.,,,,4,cavity,3,23,X,,,1,1,,,,,,,,2,L,L,,,X,,,,,,,,,,,,,,X,,,,,,,X,,X,,X,,,,,,,,,Baeolophus ridgwayi,Paridae,Passeriformes,KCM7,3,tier 2,https://navarog.github.io/wingsearch/card/156,TRUE
Kākāpō,Strigops habroptila,oceania,yellow,"Draw 4 bonus cards, keep 1, and discard the other 3.","This flightless, nocturnal parrot is endangered; it only reproduces every 3 years or so.",,,X,4,ground,2,*,X,,,,1,,1,,,,,,2,N,L,,,,,,,,,X,,,,,,,,X,,X,X,,,,X,X,,,X,,,,X,X,,,,Strigops habroptila,Strigopidae,Psittaciformes,5326S,2,tier 1,https://navarog.github.io/wingsearch/card/298,FALSE
Kea,Nestor notabilis,oceania,white,Draw 1 bonus card. You may discard any number of [wild] to draw that many additional bonus cards. Keep 1 of the cards you drew and discard the rest.,These endangered parrots have been observed making and using tools.,,,X,5,ground,2,90,X,X,,,,,1,,1,,,,2,L,L,,,,,,,,,X,,,,,,X,,,,X,X,,,,,X,,,,,,,X,X,,,,Nestor notabilis,Strigopidae,Psittaciformes,4793F,3,tier 2,https://navarog.github.io/wingsearch/card/299,TRUE
Kelp Gull,Larus dominicanus,oceania,brown,Discard any number of [wild] to draw that many [card].,"This southern gull’s Latin name refers to Dominican monks, who wear black and white robes.",,,,6,ground,2,135,,,X,,,1,,,,1,,,2,R,,,,,,X,,,X,X,,,,,,,,,,X,,,X,,,X,,X,,,,,X,,X,,,Larus dominicanus,Laridae,Charadriiformes,3SBQ5,4,underused tier,https://navarog.github.io/wingsearch/card/300,FALSE
Kererū,Hemiphaga novaeseelandiae,oceania,brown,"If the player to your left has a [nectar] in their personal supply, gain 1 [nectar] from the general supply.",This large fruit-eating pigeon also eats flowers and leaves.,,,,3,platform,2,75,X,,,,,,1,,1,,,,2,L,,,,,,,,,,X,,,,,X,,,,,,,,,,X,X,,,,X,,,X,X,,,,Hemiphaga novaeseelandiae,Columbidae,Columbiformes,3KRM5,4,underused tier,https://navarog.github.io/wingsearch/card/157,FALSE
Killdeer,Charadrius vociferus,core,brown,Discard 1 [egg] to draw 2 [card].,Killdeers will fake a broken wing to lure predators from their nests.,,,,1,ground,3,46,,X,X,1,1,,,,,,/,,1,L,R,,,X,X,X,,,,,,,,,X,X,,X,,X,,,,,,,,,,,,,,,,,,Charadrius vociferus,Charadriidae,Charadriiformes,TMXQ,0,god tier,https://navarog.github.io/wingsearch/card/485,TRUE
King Eider,Somateria spectabilis,promoCA,brown,"If you have fewer than 4 [wild] in your supply, gain 1 [die] from the birdfeeder.","The feeding strategies of these large, brightly colored, high-latitude ducks vary by season.",,,,3,ground,3,94,,,X,1,,,,,,1,,,2,R,,,,X,,,X,X,,,,,,,X,,,,,X,,,,,,X,,X,,,,,,,X,,,Somateria spectabilis,Anatidae,Anseriformes,4Y8FV,,,https://navarog.github.io/wingsearch/card/158,FALSE
King Rail,Rallus elegans,core,white,Draw 2 new bonus cards and keep 1.,"King rails declined 90% from 1966 to 2015, due to habitat loss and pesticide runoff.",,,X,4,platform,6,51,,,X,1,,1,,,,1,,,3,L,,,,X,X,,,,,,,,,,,,,,X,,X,,X,,,,,X,,X,,,,,X,,,Rallus elegans,Rallidae,Gruiformes,4RB9R,3,tier 2,https://navarog.github.io/wingsearch/card/301,FALSE
Korimako,Anthornis melanura,oceania,brown,Discard any number of [rodent] to gain that many [nectar] from the supply.,"Also known as bellbirds, these are one of many species that benefit from control of invasive rats.",,,,4,bowl,3,22,X,,,1,,,1,,1,,,,3,L,,,,,,,,,,X,,,,,,,,,X,,,,,,X,,,,X,,,,,X,,X,,Anthornis melanura,Meliphagidae,Passeriformes,67FLN,4,underused tier,https://navarog.github.io/wingsearch/card/302,FALSE
Large-Billed Crow,Corvus macrorhynchos,asia,brown,"Cache 1 [wild] from your supply on any bird. If you do, you may tuck 1 [card] from your hand behind this bird.","These gregarious crows will take advantage of almost any food source, living or dead.",,X,,6,platform,2,115,X,X,X,,1,,,,,1,,,2,R,,,,,,,,X,,,X,,,,,X,X,X,,,,,,,,X,,X,,X,,,X,,,,,Corvus macrorhynchos,Corvidae,Passeriformes,YNJ4,2,tier 1,https://navarog.github.io/wingsearch/card/405,FALSE
Laughing Gull,Leucophaeus atricilla,promoUS,pink,"When another player resets the birdfeeder, gain 1 [die] from the birdfeeder at the end of their turn.",The laughing gull’s flexible diet includes human garbage and handouts from beachgoers.,,,,4,ground,2,104,,,X,,,1,,,,2,,,3,L,,,,X,X,X,,,,,,,,,,,,,X,X,,,X,,,X,,X,,,,,X,,X,,,Leucophaeus atricilla,Laridae,Charadriiformes,7253D,,,https://navarog.github.io/wingsearch/card/586,FALSE
Laughing Kookaburra,Dacelo novaeguineae,oceania,brown,"Reset the birdfeeder. If you do, gain 1 [invertebrate], [fish], or [rodent], if there is one.","The name for this large kingfisher comes from ""guuguubarra"" in Wiradjuri, an Aboriginal language.",X,,,1,cavity,3,60,X,X,X,1,,1,,1,,,/,,1,L,L,,,,,,,,,X,,,,,X,X,,,,,,X,X,,,,X,,,,,X,,,,,,Dacelo novaeguineae,Alcedinidae,Coraciiformes,33SX2,2,tier 1,https://navarog.github.io/wingsearch/card/303,TRUE
Lazuli Bunting,Passerina amoena,core,brown,All players lay 1 [egg] on any 1 [bowl] bird. You may lay 1 [egg] on 1 additional [bowl] bird.,"The Latin name amoena means ""beautiful"" or ""charming"".",,,,4,bowl,4,23,,X,,1,1,,1,,,,,,3,R,R,,,X,X,,,,,,,,,X,,,,X,X,,,,,,,,,,X,,X,,,X,,X,,Passerina amoena,Cardinalidae,Passeriformes,4DXYQ,3,tier 2,https://navarog.github.io/wingsearch/card/159,TRUE
Lesser Frigatebird,Fregata ariel,oceania,brown,All players may discard 1 [egg] from a [wetland] bird. Each player that discards an [egg] gains 1 [wild] from the supply.,"Frigatebirds love to eat fish and squid, but they also eat seabird eggs.",,,,9,platform,1,175,,,X,1,,2,,,,,,,3,R,,,,,,,,X,X,X,,,,,,,,,X,,,,X,,,X,,,,X,,,X,,X,,,Fregata ariel,Fregatidae,Suliformes,6JLWB,2,tier 1,https://navarog.github.io/wingsearch/card/304,FALSE
Lesser Prairie-Chicken,Tympanuchus pallidicinctus,promoUS,white,Draw 2 new bonus cards. Keep 1 and reveal the other. All players score the revealed bonus card at game end.,"Like its greater cousin, this vulnerable landfowl chooses mates using a complex lek system.",,,X,5,ground,4,61,,X,,1,1,,,,,,,,2,R,,,X,X,,,,,,,,X,,,,,,X,,X,X,,,,,,,,,,X,,,,,,,Tympanuchus pallidicinctus,Phasianidae,Galliformes,7DB5M,,,https://navarog.github.io/wingsearch/card/587,FALSE
Lesser Spotted Woodpecker,Dryobates minor,promoUK,brown,Discard 1 [invertebrate] to lay 2 [egg] on this bird.,"The smallest of all European woodpeckers, there are now fewer than 2,000 of these birds in the UK.",,,,2,cavity,4,26,X,,X,2,,,,,,,,,2,R,,,,,,,X,X,,,,,,,X,X,,,,,,,,X,,,X,,X,,,,,,,,,Dryobates minor,Picidae,Piciformes,7TCSL,,,https://navarog.github.io/wingsearch/card/558,FALSE
Lesser Whitethroat,Sylvia curruca,european,teal,Choose a habitat with no [egg]. Lay 1 [egg] on each bird in that habitat.,"The genus name Sylvia means ""woodland sprite.""",,,,0,bowl,2,18,X,X,,1,,,1,,,,,,2,L,,,,,,,X,X,X,,X,,,X,X,X,,,,,,,,,,,,,X,,,,X,X,,X,,Sylvia curruca,Sylviidae,Passeriformes,DDBMF,2,tier 1,https://navarog.github.io/wingsearch/card/160,FALSE
Lewin's Honeyeater,Meliphaga lewinii,oceania,brown,Choose 1 other player. You both gain 1 [nectar] from the supply.,Artist John Lewin came to New South Wales in 1800 to record the birds and insects there.,,,,5,bowl,2,29,X,,,,,,1,,1,,,,2,R,,,,,,,,,,X,,,X,,,,,,,,,,,,X,,,,X,,,,X,X,,X,,Meliphaga lewinii,Meliphagidae,Passeriformes,6QYDS,3,tier 2,https://navarog.github.io/wingsearch/card/305,FALSE
Lincoln's Sparrow,Melospiza lincolnii,core,brown,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",Thomas Lincoln collected this sparrow in Canada with John James Audubon.,,,,3,ground,2,20,X,X,X,1,1,,,,,,,,2,R,,,,X,X,,,,,,,,X,,X,X,,X,,X,,,,,,,,,X,,,,X,,,,,Melospiza lincolnii,Passerellidae,Passeriformes,3ZN54,4,underused tier,https://navarog.github.io/wingsearch/card/161,FALSE
Little Bustard,Tetrax tetrax,european,white,Draw 1 new bonus card. Then gain 1 [card] or lay 1 [egg] on any bird.,Males have extensive mating displays involving foot stamping and aerial leaps.,,,X,4,ground,2,110,,X,,1,1,,,,,,,,2,L,,,,,,,X,X,,,,,,,,,,X,,X,X,,,,,X,,,,,X,,X,,,,,Tetrax tetrax,Otididae,Otidiformes,55TXX,4,underused tier,https://navarog.github.io/wingsearch/card/162,FALSE
Little Egret,Egretta garzetta,asia,brown,Draw 1 [card] from the deck and add it to your hand. All other players draw 1 [card] from the deck and keep it if it can live in [wetland].,"This egret spread its range in the 20th century, including establishing a population in Barbados.",,,,2,platform,3,95,,,X,1,,1,,1,,,/,,1,R,,X,,,,,X,X,X,X,,,,,X,,,,,,,,X,,,X,,,,X,,X,,,X,,,Egretta garzetta,Ardeidae,Pelecaniformes,6DYRB,3,tier 2,https://navarog.github.io/wingsearch/card/406,FALSE
Little Grebe,Tachybaptus ruficollis,asia,brown,"For each bird in this column with an [egg] on it, draw 1 [card]. Keep 1 and discard the rest.","Grebes are quick divers -- their scientific name comes from takhus, ""fast,"" and bapto, ""to sink.""",,,,4,wild,5,42,,,X,2,,1,,,,,,,3,LR,,,,,,,X,X,X,X,,,,,,,,,X,X,,,X,,,,X,,,X,,,,,X,X,,Tachybaptus ruficollis,Podicipedidae,Podicipediformes,54C7M,3,tier 2,https://navarog.github.io/wingsearch/card/407,FALSE
Little Owl,Athene noctua,european,brown,Steal 1 [rodent] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.,"This owl accompanied Athena, goddess of wisdom.",,,,4,cavity,2,56,X,X,,1,,,,1,,,,,2,N,N,,,,,,X,X,X,,,,,,,X,,,,,,,,,,,X,,,,,X,X,,,,,Athene noctua,Strigidae,Strigiformes,687BR,4,underused tier,https://navarog.github.io/wingsearch/card/163,TRUE
Little Penguin,Eudyptula minor,oceania,brown,"Draw and discard 5 [card] from the deck. For each [fish] in their food costs, cache 1 [fish] from the supply on this bird.","These penguins dive to catch fish, sometimes as deep as 50 meters.",X,,,7,wild,2,*,,,X,,,3,,,,,,,3,R,R,,,,,,,,,X,,,,,,,,,X,X,,X,X,,,X,X,,X,X,,,X,,X,X,,Eudyptula minor,Spheniscidae,Sphenisciformes,6H8KC,2,tier 1,https://navarog.github.io/wingsearch/card/306,TRUE
Little Pied Cormorant,Microcarbo melanoleucos,oceania,yellow,"Lay 1 [egg] on each of your birds with a [platform] nest, including this one.","This common diving bird is also called the little shag, or its Māori name, kawaupaka.",,,,4,platform,2,88,,,X,1,,1,,,,,,,2,L,,,,,,,,X,,X,,,,,,,,,,,,,X,,,X,,,,X,,,X,,X,,,Microcarbo melanoleucos,Phalacrocoracidae,Suliformes,42S9F,3,tier 2,https://navarog.github.io/wingsearch/card/307,FALSE
Little Ringed Plover,Charadrius dubius,asia,brown,"Discard 1 [card] from your hand. If you do, lay 1 [egg] on this bird.","When they nest in hot open areas, these birds soak their feathers in water to cool off their chicks.",,,,4,ground,3,45,,,X,1,,,,,,,,,1,R,,,,,,,X,X,X,X,,,,,,,,,,X,,,,X,,,,,,,,,,,X,,,Charadrius dubius,Charadriidae,Charadriiformes,5XPL5,2,tier 1,https://navarog.github.io/wingsearch/card/408,FALSE
Loggerhead Shrike,Lanius ludovicianus,core,pink,"When another player takes the ""gain food"" action, if they gain any number of [rodent], cache 1 [rodent] from the supply on this bird.",Shrikes impale their prey on thorse or barbed wire and may save them for later.,,,,3,bowl,4,30,,X,X,1,,,,1,,,,,2,L,L,,,X,,,,,,,X,,,,X,X,,,,,,,,,,,,,X,,,X,,,,X,,Lanius ludovicianus,Laniidae,Passeriformes,6NWKP,4,underused tier,https://navarog.github.io/wingsearch/card/164,TRUE
Long-Tailed Cuckoo,Urodynamis taitensis,promoNZ,pink,"When another player takes the “lay eggs” action, lay 1 [egg] on another bird in this row.","These boisterous cuckoos parasitize the nests of yellowheads, whiteheads, and pipipi.",,,,4,,0,50,X,,,1,,,,,,1,,,2,R,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,,X,,,,,X,,,,,Urodynamis taitensis,Cuculidae,Cuculiformes,7DSYR,,,https://navarog.github.io/wingsearch/card/527,FALSE
Long-Tailed Tit,Aegithalos caudatus,european,white,"Place this bird sideways, so that it covers 2 [forest] spaces. Pay the lower egg cost.","Long-tailed tit nests are an elaborate ball made from lichen, moss, and spiderwebs.",,,,0,wild,4,18,X,,,1,1,,,,,,,,2,R,N,,,,,,X,X,,,X,,,,X,,,X,,X,,,,,X,,X,,X,X,,,,,,X,,Aegithalos caudatus,Aegithalidae,Passeriformes,64WQQ,3,tier 2,https://navarog.github.io/wingsearch/card/165,TRUE
Luzon Bleeding-Heart,Gallicolumba luzonica,promoAsia,brown,"Up to 3 times, draw 1 [card] from the deck. When you stop, if the total point value is less than 6, tuck all drawn cards behind this bird. Otherwise discard them.","These quiet, secretive, and dramatically plumaged doves are endemic to the island of Luzon.",,X,,3,platform,2,38,X,,,1,1,,1,,,,/,,1,L,,,,,,,,X,,,X,X,,X,X,,X,X,,,,,,,X,,,,,X,,,X,X,,,,Gallicolumba luzonica,Columbidae,Columbiformes,6K9G3,,,https://navarog.github.io/wingsearch/card/464,FALSE
Magenta Petrel,Pterodroma magentae,promoNZ,white,"Give 1 bonus card to another player. If you do, draw 2 new bonus cards and lay 1 [egg] on this bird.",These perilously endangered seabirds build nests deep in underground burrows.,,,X,6,wild,1,102,,,X,,,2,,,,,,,2,R,,,,,,,,,,X,,,,X,,,,,,X,X,,X,,,X,X,,,X,,,X,,X,X,,Pterodroma magentae,Procellariidae,Procellariiformes,4PWKV,,,https://navarog.github.io/wingsearch/card/528,FALSE
Magpie-Lark,Grallina cyanoleuca,oceania,yellow,"Discard 2 [egg] from your [forest]. If you do, play 1 bird in your [grassland] at its normal food cost (ignore its egg cost). If it has a ""when played"" or ""game end"" power, you may use it.",Expanding agriculture has helped the magpie-lark even as it has harmed forest-dwelling animals.,,,,5,bowl,3,57,,X,,1,1,,,,,,/,,1,R,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,X,,,,,X,,Grallina cyanoleuca,Monarchidae,Passeriformes,3H5QH,2,tier 1,https://navarog.github.io/wingsearch/card/308,FALSE
Major Mitchell's Cockatoo,Lophochroa leadbeateri,oceania,brown,"Tuck 1 [card] from your hand behind this bird. If you do, all players gain 1 [seed] from the supply.","These cockatoos can form large nomadic flocks, but often forage in small groups.",,X,,6,cavity,2,81,X,X,,,2,,,,,,,,2,L,L,,,,,,,,,X,,,X,,,X,X,X,,,,,,,,X,X,,,,,,X,,,,,Lophochroa leadbeateri,Cacatuidae,Psittaciformes,P57G,4,underused tier,https://navarog.github.io/wingsearch/card/309,TRUE
Mallard,Anas platyrhynchos,core,brown,Draw 1 [card].,Mallards are among the most abundant ducks in the world.,,,,0,ground,4,89,,,X,1,1,,,,,,/,,1,R,,,,X,X,,X,X,X,,,,,,X,,,X,,X,,,,,,X,,,,,,,,,X,,,Anas platyrhynchos,Anatidae,Anseriformes,DGP6,2,tier 1,https://navarog.github.io/wingsearch/card/166,FALSE
Malleefowl,Leipoa ocellata,oceania,yellow,"Lay 1 [egg] on each of your birds with a [ground] nest, including this one.","A malleefowl mound nest holds the record for largest ground nest, weighing 299 metric tons.",,,,2,ground,6,86,X,X,,,1,,,,,1,,,2,L,,,,,,,,,,X,,X,,,X,X,,X,,X,,,,,,X,,X,,,,,,,,,,Leipoa ocellata,Megapodiidae,Galliformes,6P76F,3,tier 2,https://navarog.github.io/wingsearch/card/310,FALSE
Mandarin Duck,Aix galericulata,asia,teal,"Draw 5 [card] from the deck. Add 1 to your hand, tuck 1 behind this bird, give 1 to another player, and discard the rest.","A Chinese saying describes loving couples as ""Two mandarin ducks playing in water.""",,X,,3,cavity,5,71,X,,X,1,1,,,,,,,,2,L,L,,,,,,X,X,,,,,,,X,X,X,X,,,,,,,,X,X,,,,,,,,,,,Aix galericulata,Anatidae,Anseriformes,5TV4F,1,tier 0,https://navarog.github.io/wingsearch/card/409,TRUE
